trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-126.49173224854735,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-70.31926812901105,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",30,0,-94.86281956357104,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",35,0,-153.44194394512567,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",1
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",35,0,-92.05309463605008,"{0: 22, 1: 3, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",20,0,-160.94343539761024,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",25,0,-152.272730369911,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",25,0,-130.6083108081198,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",25,0,-133.00183578257972,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.835270211411272}",25,15,-27.48893006398221,"{0: 6, 1: 3, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-72.70956887520286,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-65.96772079824375,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,0,-33.41083521769497,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
